ts,p1,p2,p3,p4
10960,1372,216,0,0
10970,1458,227,21,11
10980,1430,215,0,0
10990,1504,225,0,0
11000,1505,220,31,20
11010,1503,216,0,0
11020,1558,227,21,11
11030,1494,214,0,0
11040,1517,224,0,0
11050,1462,220,31,20
11060,1403,215,0,0
11070,1427,227,21,11
11080,1330,214,0,0
11090,1331,224,0,0
11100,1276,219,31,20
11110,1226,215,0,0
11120,1243,226,21,11
11130,1163,214,0,1
11140,1200,223,0,0
11150,1179,219,32,20
11160,1163,214,0,0
11170,1225,226,20,10
11180,1176,214,0,0
11190,1232,223,0,0
11200,1222,219,32,20
11210,1208,214,0,0
11220,1265,226,20,10
11230,1210,213,0,1
11240,1257,223,0,0
11250,1238,219,32,20
11260,1216,214,0,0
11270,1270,226,20,10
11280,1215,214,0,1
11290,1264,223,0,0
11300,1250,219,32,20
11310,1231,214,0,0
11320,1283,226,19,10
11330,1220,213,0,1
11340,1254,223,0,0
11350,1225,219,32,20
11360,1194,214,0,0
11370,1226,226,20,10
11380,1150,214,0,1
11390,1176,223,0,0
11400,1131,219,32,20
11410,1069,214,0,0
11420,1072,226,19,10
11430,958,214,0,1
11440,953,223,0,0
11450,882,220,32,20
11460,809,214,0,0
11470,810,226,19,10
11480,714,214,0,1
11490,728,223,0,0
11500,693,219,32,20
11510,659,214,0,0
11520,700,226,18,9
11530,643,214,0,2
11540,683,223,0,0
11550,667,219,32,20
11560,649,213,0,0
11570,711,226,18,9
11580,670,214,1,2
11590,725,223,0,0
11600,730,219,32,20
11610,720,213,0,0
11620,794,226,18,9
11630,748,214,1,2
11640,780,223,0,0
11650,752,219,32,20
11660,705,213,0,0
11670,731,225,17,9
11680,644,213,1,2
11690,660,222,0,0
11700,610,219,32,20
11710,568,212,0,0
11720,572,226,17,9
11730,475,213,1,2
11740,441,222,0,0
11750,366,219,33,20
11760,311,213,0,0
11770,310,226,17,8
11780,244,213,1,2
11790,248,223,0,0
11800,218,219,33,20
11810,188,212,0,0
11820,220,226,17,8
11830,184,213,2,3
11840,188,222,0,0
11850,156,219,33,21
11860,142,212,0,0
11870,171,225,16,8
11880,139,213,2,3
11890,164,222,0,0
11900,155,219,33,20
11910,143,211,0,0
11920,165,226,16,8
11930,122,213,2,3
11940,134,222,0,0
11950,110,219,33,20
11960,83,211,0,0
11970,94,226,16,7
11980,59,213,3,3
11990,80,222,0,0
12000,72,219,33,20
12010,67,211,0,0
12020,98,226,16,8
12030,69,213,3,3
12040,83,222,0,0
12050,73,219,33,20
12060,71,211,0,0
12070,95,226,15,7
12080,62,214,3,3
12090,88,222,0,0
12100,86,220,33,20
12110,82,212,0,0
12120,108,227,15,7
12130,84,214,3,3
12140,111,223,0,0
12150,102,220,33,21
12160,99,212,0,0
12170,131,227,15,7
12180,108,214,4,4
12190,131,223,0,0
12200,119,220,33,21
12210,104,213,0,0
12220,118,227,14,7
12230,91,214,4,4
12240,113,223,0,0
12250,102,220,33,20
12260,100,212,0,0
12270,128,227,15,7
12280,113,214,4,4
12290,143,223,0,0
12300,139,220,33,21
12310,144,212,0,0
12320,167,227,14,7
12330,140,214,4,4
12340,162,222,0,0
12350,159,220,33,21
12360,154,211,0,0
12370,174,226,14,7
12380,151,213,5,4
12390,162,222,0,0
12400,146,219,33,20
